6.401179764002644224e+05,1.527628640453516273e+05,2.302000000000000000e+03
6.401929760990134673e+05,1.526878643466026406e+05,2.494000000000000000e+03
6.401929760990134673e+05,1.526378645474366203e+05,2.460000000000000000e+03
6.401429762998474762e+05,1.526128646478536248e+05,2.294000000000000000e+03
6.470929483839216409e+05,1.511378705724565953e+05,3.191000000000000000e+03
6.403179755969285034e+05,1.464628893504354928e+05,3.696000000000000000e+03
6.423929672623175429e+05,1.464628893504354928e+05,4.031000000000000000e+03
6.425679665593984537e+05,1.461878904550225125e+05,4.122000000000000000e+03
6.504179350284606917e+05,1.446628965804594627e+05,2.974000000000000000e+03
6.423929672623175429e+05,1.430379031075644307e+05,3.162000000000000000e+03
6.429429650531435618e+05,1.429379035092324484e+05,3.333000000000000000e+03
6.459179531035205582e+05,1.429379035092324484e+05,3.251000000000000000e+03
6.432929636473054998e+05,1.410379111409244069e+05,3.100000000000000000e+03
6.455679545093585039e+05,1.487128803129055595e+05,2.991000000000000000e+03
6.450679565176985925e+05,1.483878816183265590e+05,3.139000000000000000e+03
6.459179531035205582e+05,1.482128823212455318e+05,2.807000000000000000e+03
6.447179579235365381e+05,1.476878844300025376e+05,3.716000000000000000e+03
6.462679516976826126e+05,1.458128919612774916e+05,3.389000000000000000e+03
6.472929475805856055e+05,1.446128967812934716e+05,3.181000000000000000e+03
6.476429461747476598e+05,1.440878988900504482e+05,2.756000000000000000e+03
6.440429606347954832e+05,1.434129016013094515e+05,3.602000000000000000e+03
6.459179531035205582e+05,1.430629030071474263e+05,3.161000000000000000e+03
6.460929524006015854e+05,1.418629078271634062e+05,2.739000000000000000e+03
